Model,Tuned MAE,Tuned RMSE,Tuned R2,Test MAE,Test RMSE,Test R2,MAE Change,R2 Gain
XGBoost,893.7985229492188,1633.0303120273059,0.8720982074737549,867.0131225585938,1639.5589345918615,0.8710734844207764,-26.785400390625,0.0010247230529785156
GradientBoosting,899.5938018278971,1657.8383847764226,0.8681826533028495,1252.2965676200486,2014.8247697091838,0.8053014368224414,352.70276579215147,0.06288121648040812
LightGBM,974.1832405169922,1701.0129054043653,0.8612275035635513,1007.5529637175619,1710.101450511155,0.8597406135997805,33.36972320056964,0.0014868899637707766
RandomForest,904.970854939115,1723.292466373116,0.8575684623631683,844.1904401243254,1703.321547381976,0.8608505594271245,-60.78041481478965,-0.003282097063956213
SVR,1274.103270889571,1998.376990306713,0.8084672585146799,1213.428579958495,2041.7176044283062,0.8000692796259841,-60.67469093107593,0.008397978888695867
